cluster_id,size,avg_roughness,avg_anisotropy,avg_complexity,avg_vein_density,most_common_disease,disease_distribution
0,46,447.6715541010275,3.387361303861828e-05,2.0493679853307185,0.2972653650454747,Tomato___healthy,"{np.int64(0): 1, np.int64(1): 1, np.int64(4): 4, np.int64(6): 8, np.int64(7): 2, np.int64(8): 10, np.int64(9): 20}"
1,44,623.7177335711303,6.842152952178585e-05,2.0323206354613856,0.2529844945790817,Tomato___Early_blight,"{np.int64(1): 21, np.int64(3): 19, np.int64(4): 1, np.int64(5): 1, np.int64(7): 1, np.int64(8): 1}"
2,52,308.8655695579869,0.00012422456585648676,2.039995402134215,0.2470132058231946,Tomato___Spider_mites Two-spotted_spider_mite,"{np.int64(0): 7, np.int64(1): 4, np.int64(3): 11, np.int64(5): 29, np.int64(7): 1}"
3,4,170.71289243395213,0.012424383246498432,1.7815379104307452,0.07385503029336735,Tomato___Leaf_Mold,{np.int64(3): 4}
4,23,212.20256123494386,4.91517289647464e-05,2.065368387782919,0.29777097659716056,Tomato___Late_blight,"{np.int64(2): 21, np.int64(3): 1, np.int64(5): 1}"
5,80,663.6757210947101,2.6735727789801854e-05,2.0721672337005517,0.2987979811065051,Tomato___Tomato_mosaic_virus,"{np.int64(1): 2, np.int64(2): 6, np.int64(3): 2, np.int64(4): 5, np.int64(5): 17, np.int64(6): 5, np.int64(7): 11, np.int64(8): 32}"
6,41,401.10786479502315,6.424495782702716e-05,2.057759251816362,0.2831326413949726,Tomato___Septoria_leaf_spot,"{np.int64(4): 36, np.int64(8): 5}"
7,97,893.9673554336758,2.2789068234406865e-05,2.0720969990980116,0.29104192417946556,Tomato___Target_Spot,"{np.int64(1): 1, np.int64(2): 23, np.int64(3): 3, np.int64(5): 1, np.int64(6): 36, np.int64(7): 33}"
8,25,202.93562840822847,0.0003424720794111316,2.0217013402059503,0.18001355229591837,Tomato___healthy,{np.int64(9): 25}
9,88,247.59382049798648,8.184700845278581e-05,1.9919044632191365,0.26348095612534783,Tomato___Bacterial_spot,"{np.int64(0): 42, np.int64(1): 21, np.int64(3): 10, np.int64(4): 4, np.int64(5): 1, np.int64(6): 1, np.int64(7): 2, np.int64(8): 2, np.int64(9): 5}"
